1	2	0.000574	0.000293	0	1
2	3	0.00307	0.001564	0	1
3	4	0.002279	0.001161	0	1
4	5	0.002373	0.001209	0	1
5	6	0.0051	0.004402	0	1
6	7	0.00116	0.003853	0	1
7	8	0.00443	0.001464	0	1
8	9	0.006411	0.004668	0	1
9	10	0.006501	0.004608	0	1
10	11	0.001224	0.000405	0	1
11	12	0.002331	0.000771	0	1
12	13	0.009141	0.007192	0	1
13	14	0.003372	0.004439	0	1
14	15	0.00368	0.003275	0	1
15	16	0.004647	0.003394	0	1
16	17	0.008026	0.010716	0	1
17	18	0.004558	0.003574	0	1
2	19	0.001021	0.000974	0	1
19	20	0.009366	0.00844	0	1
20	21	0.00255	0.002979	0	1
21	22	0.004414	0.005836	0	1
3	23	0.002809	0.00192	0	1
23	24	0.005592	0.004415	0	1
24	25	0.005579	0.004366	0	1
6	26	0.001264	0.000644	0	1
26	27	0.00177	0.000901	0	1
27	28	0.006594	0.005814	0	1
28	29	0.005007	0.004362	0	1
29	30	0.00316	0.00161	0	1
30	31	0.006067	0.005996	0	1
31	32	0.001933	0.002253	0	1
32	33	0.002123	0.003301	0	1
8	34	0.012453	0.012453	0	1
9	35	0.012453	0.012453	0	1
12	36	0.012453	0.012453	0	1
18	37	0.003113	0.003113	0	1
25	38	0.003113	0.003113	0	1
